"name,""type"",""value"""
"planttype,""param"",1"
"randomness,""param"",1"
"stele,""cell_diameter"",0.0105974702655724"
"stele,""n_layers"",1"
"stele,""layer_diameter"",0.21"
"stele,""order"",1"
"pericycle,""cell_diameter"",0.0105974702655724"
"pericycle,""n_layers"",1"
"pericycle,""order"",2"
"endodermis,""cell_diameter"",0.0211949405311448"
"endodermis,""n_layers"",1"
"endodermis,""order"",3"
"cortex_inner,""cell_diameter"",0.015"
"cortex_inner,""n_layers"",1"
"cortex_inner,""order"",4"
"cortex,""cell_diameter"",0.03"
"cortex,""n_layers"",6"
"cortex,""order"",4"
"exodermis,""cell_diameter"",0.0317924107967171"
"exodermis,""n_layers"",1"
"exodermis,""order"",5"
"epidermis,""cell_diameter"",0.00963406387779307"
"epidermis,""n_layers"",1"
"epidermis,""order"",6"
"xylem,""max_size"",0.05"
"xylem,""n_files"",3"
"xylem,""order"",1.5"
"xylem,""ratio"",1.89249895070872"
"phloem,""max_size"",0.01"
"phloem,""n_files"",3"
"aerenchyma,""proportion"",0.09"
"aerenchyma,""n_files"",10"
