node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 -0.0276 -0.1004 -3.0227 0.0512 0.1066 0.4314 0.3922 0.1961 0.0180 1.0000 
1 2 0 -0.0276 -0.1004 -3.0227 -0.1498 -0.5727 -3.1326 0.0512 0.5000 0.4314 0.3922 0.1961 0.1028 1.0000 
2 3 0 -0.1498 -0.5727 -3.1326 -0.1572 -0.6008 -3.1388 0.0512 0.0298 0.4314 0.3922 0.1961 0.1078 1.0000 
3 4 0 -0.1572 -0.6008 -3.1388 -0.3079 -1.0654 -3.2457 0.0512 0.5000 0.4314 0.3922 0.1961 0.1931 1.0000 
4 5 0 -0.3079 -1.0654 -3.2457 -0.3116 -1.0768 -3.2484 0.0512 0.0123 0.4314 0.3922 0.1961 0.1952 1.0000 
5 6 0 -0.3116 -1.0768 -3.2484 -0.4974 -1.4920 -3.3821 0.0512 0.4741 0.4314 0.3922 0.1961 0.2764 1.0000 
6 7 0 -0.4974 -1.4920 -3.3821 -0.7323 -1.8899 -3.5730 0.0512 0.5000 0.4314 0.3922 0.1961 0.3626 1.0000 
7 8 0 -0.7323 -1.8899 -3.5730 -0.8066 -2.0221 -3.6223 0.0512 0.1595 0.4314 0.3922 0.1961 0.3902 1.0000 
8 9 0 -0.8066 -2.0221 -3.6223 -0.9805 -2.4385 -3.8377 0.0512 0.5000 0.4314 0.3922 0.1961 0.4770 1.0000 
9 10 0 -0.9805 -2.4385 -3.8377 -1.0129 -2.5127 -3.8733 0.0512 0.0884 0.4314 0.3922 0.1961 0.4924 1.0000 
10 11 0 -1.0129 -2.5127 -3.8733 -1.2190 -2.9285 -4.0594 0.0512 0.5000 0.4314 0.3922 0.1961 0.5798 1.0000 
11 12 0 -1.2190 -2.9285 -4.0594 -1.2604 -3.0153 -4.1037 0.0512 0.1059 0.4314 0.3922 0.1961 0.5984 1.0000 
12 13 0 -1.2604 -3.0153 -4.1037 -1.4617 -3.4177 -4.3216 0.0512 0.5000 0.4314 0.3922 0.1961 0.6864 1.0000 
13 14 0 -1.4617 -3.4177 -4.3216 -1.5114 -3.5352 -4.3839 0.0512 0.1419 0.4314 0.3922 0.1961 0.7114 1.0000 
14 15 0 -1.5114 -3.5352 -4.3839 -1.6882 -3.9488 -4.6021 0.0512 0.5000 0.4314 0.3922 0.1961 0.8001 1.0000 
15 16 0 -1.6882 -3.9488 -4.6021 -1.7164 -4.0282 -4.6449 0.0512 0.0945 0.4314 0.3922 0.1961 0.8169 1.0000 
16 17 0 -1.7164 -4.0282 -4.6449 -1.8813 -4.4403 -4.8750 0.0512 0.5000 0.4314 0.3922 0.1961 0.9061 1.0000 
17 18 0 -1.8813 -4.4403 -4.8750 -1.9116 -4.5369 -4.9359 0.0512 0.1182 0.4314 0.3922 0.1961 0.9273 1.0000 
18 19 0 -1.9116 -4.5369 -4.9359 -2.0328 -4.9603 -5.1728 0.0512 0.5000 0.4314 0.3922 0.1961 1.0172 1.0000 
19 20 0 -2.0328 -4.9603 -5.1728 -2.0514 -5.0235 -5.2163 0.0512 0.0790 0.4314 0.3922 0.1961 1.0314 1.0000 
20 21 0 -2.0514 -5.0235 -5.2163 -2.1063 -5.4254 -5.5086 0.0512 0.5000 0.4314 0.3922 0.1961 1.1219 1.0000 
21 22 0 -2.1063 -5.4254 -5.5086 -2.1135 -5.4893 -5.5501 0.0512 0.0765 0.4314 0.3922 0.1961 1.1358 1.0000 
22 23 0 -2.1135 -5.4893 -5.5501 -2.1271 -5.9063 -5.8258 0.0512 0.5000 0.4314 0.3922 0.1961 1.2269 1.0000 
23 24 0 -2.1271 -5.9063 -5.8258 -2.1237 -5.9845 -5.8965 0.0512 0.1055 0.4314 0.3922 0.1961 1.2462 1.0000 
