"name,""type"",""value"""
"planttype,""param"",1"
"randomness,""param"",3"
"stele,""cell_diameter"",0.0025"
"stele,""n_layers"",1"
"stele,""layer_diameter"",0.022"
"stele,""order"",1"
"pericycle,""cell_diameter"",0.0026"
"pericycle,""n_layers"",1"
"pericycle,""order"",2"
"endodermis,""cell_diameter"",0.003"
"endodermis,""n_layers"",1"
"endodermis,""order"",3"
"cortex,""cell_diameter"",0.0075"
"cortex,""n_layers"",3"
"cortex,""order"",4"
"exodermis,""cell_diameter"",0.007"
"exodermis,""n_layers"",1"
"exodermis,""order"",5"
"epidermis,""cell_diameter"",0.0055"
"epidermis,""n_layers"",1"
"epidermis,""order"",6"
"xylem,""max_size"",0.008"
"xylem,""n_files"",1"
"xylem,""order"",1.5"
"xylem,""ratio"",1"
"phloem,""max_size"",0.01"
"phloem,""n_files"",3"
"aerenchyma,""proportion"",0"
"aerenchyma,""n_files"",10"
